mmsi,vessel_name,imo,call_sign,vessel_type,length,width,draft,cargo,transceiver_class
0,CGC SPENCER,,NWHE,55.0,82.0,12.0,0.0,0.0,A
111,BOOMVANG,IMO0000001,EB643,90.0,47.0,35.0,0.0,90.0,A
368926,WARSHIP 20,IMO0004371,LCS 20,35.0,128.0,32.0,0.0,35.0,A
1056261,CHAMPAGNE CHER,IMO1056261,WDC6418,10.0,35.0,8.0,2.5,10.0,A
3660489,NEPTUNE TLP,,WQGV318,90.0,25.0,8.0,4.0,99.0,A
3660512,PERDIDO,,WQHQ633,90.0,169.0,0.0,4.0,90.0,A
3669881,,,,0.0,0.0,0.0,0.0,0.0,A
3669882,,,,0.0,0.0,0.0,0.0,0.0,A
9110192,,,,37.0,25.0,8.0,4.0,52.0,B
12345678,INGRAM TEST UNIT,,WWW0000,32.0,65.0,14.0,3.5,32.0,A
32975514,,,,37.0,25.0,8.0,4.0,52.0,A
36770590,FUGITIVE,,WD15324,37.0,38.0,8.0,2.0,37.0,A
36926403,PCU MARINETTE,,NMNE,35.0,0.0,0.0,0.0,35.0,A
121776489,HOOK N BULL,IMO0000000,1216713,37.0,30.0,6.0,4.0,52.0,B
122292919,SD PILOT BOAT,,WCQ2250,50.0,0.0,0.0,0.0,50.0,A
123456789,ODYSSEY,IMO0000000,ODYSSEY,37.0,25.0,10.0,5.0,35.0,A
205086000,DORIS,IMO9877781,ONKY,80.0,336.0,60.0,11.0,80.0,A
205097000,FLANDERS INNOVATION,IMO9897547,ONKT,80.0,230.0,36.0,12.1,80.0,A
205847610,OSKY,IMO0000000,OR8476,36.0,14.0,5.0,4.0,52.0,B
207832820,TWINS,,LZH3282,37.0,25.0,8.0,4.0,52.0,B
209087000,CAPE PIONEER,IMO9719874,5BUE4,70.0,271.0,43.0,10.7,70.0,A
209136000,UBC TAMPA,IMO9416707,5BVM2,70.0,182.0,28.0,10.9,70.0,A
209156000,UBC STAVANGER,IMO9287340,P3XJ9,70.0,171.0,27.0,10.4,79.0,A
209182000,SHOVELER,IMO9459979,5BMD2,70.0,185.0,23.0,10.4,70.0,A
209289000,UBC SAVANNAH,IMO9220976,P3UW8,70.0,171.0,27.0,10.4,70.0,A
209316000,SEATTLE,IMO9220988,P3UX8,70.0,171.0,27.0,10.4,70.0,A
209470000,MSC BOSPHORUS,IMO9247742,5BDF5,71.0,300.0,40.0,13.3,71.0,A
